,click,hour,C1,banner_pos,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,device_model_int
46,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,-5500102211152890747
47,0,14102100,1005,1,1,0,17037,320,50,1934,2,39,-1,16,-7804423706245359345
48,0,14102100,1005,1,1,0,16920,320,50,1899,0,431,-1,117,-2552783451577803505
49,0,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,4499108202135611527
50,1,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,-6892224247118359062
51,0,14102100,1005,0,1,0,15705,320,50,1722,0,35,100084,79,2594903219272269171
52,1,14102100,1005,0,1,2,18993,320,50,2161,0,35,100131,157,8708890868380135645
53,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,100084,79,-6043826374048643121
54,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,100084,79,-6449148530060962954
55,0,14102100,1005,1,1,0,16615,320,50,1863,3,39,100188,23,-7447863751109610905
56,0,14102100,1005,1,1,0,20634,320,50,2374,3,39,-1,23,8930365107288478591
57,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,-1,79,-6449148530060962954
58,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,7859862781110741220
59,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,4910527101902682866
60,1,14102100,1005,0,1,0,20596,320,50,2161,0,35,100034,157,7655675001664256415
61,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,7741261153921945767
62,0,14102100,1005,0,1,0,17212,320,50,1887,3,39,100202,23,-4694476904403802612
63,0,14102100,1005,0,1,0,15705,320,50,1722,0,35,-1,79,3314832870957709642
64,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,4499108202135611527
65,1,14102100,1005,0,1,0,15708,320,50,1722,0,35,100084,79,-8857634191257504972
66,0,14102100,1005,1,1,0,17747,320,50,1974,2,39,100021,33,4042043507569394401
67,0,14102100,1005,0,1,0,21611,320,50,2480,3,297,100111,61,-5584331359656771346
68,1,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,-5497470920203784452
69,0,14102100,1005,0,1,0,15707,320,50,1722,0,35,-1,79,-8524845869631428841
70,0,14102100,1005,1,1,0,17914,320,50,2043,2,39,-1,32,-777927863308884800
71,0,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,7741261153921945767
72,0,14102100,1005,0,1,0,15705,320,50,1722,0,35,100084,79,7741261153921945767
73,0,14102100,1005,0,1,0,15707,320,50,1722,0,35,-1,79,-5497470920203784452
74,0,14102100,1005,0,1,0,15702,320,50,1722,0,35,-1,79,-8146982714094823367
75,0,14102100,1005,0,1,0,17654,300,250,1994,2,39,-1,33,-275105822385290476
76,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,2284728201591191476
77,1,14102100,1005,1,1,0,20362,320,50,2333,0,39,-1,157,137884114573136964
78,0,14102100,1005,0,1,2,18993,320,50,2161,0,35,-1,157,-7219162638569603007
79,0,14102100,1005,0,1,0,4687,320,50,423,2,39,100148,32,7571582493730550773
80,0,14102100,1005,0,1,0,15703,320,50,1722,0,35,100083,79,-6043826374048643121
81,0,14102100,1002,0,0,0,21691,320,50,2495,2,167,-1,23,-919219231696886166
82,0,14102100,1005,0,1,0,4687,320,50,423,2,39,100148,32,3314832870957709642
83,0,14102100,1005,0,1,0,15702,320,50,1722,0,35,100083,79,-8524845869631428841
84,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,100084,79,-80052322344914806
85,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,100083,79,3166467294089049899
86,1,14102100,1005,0,1,0,20633,320,50,2374,3,39,-1,23,-5497470920203784452
87,1,14102100,1002,0,0,0,21682,320,50,2496,3,167,100191,23,-8596601259087622892
88,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,-1,79,3518248527686447543
89,0,14102100,1005,0,1,0,15702,320,50,1722,0,35,100083,79,1870610864071478492
90,0,14102100,1005,0,1,0,15703,320,50,1722,0,35,-1,79,5846719576061300330
91,0,14102100,1005,0,1,0,15705,320,50,1722,0,35,100083,79,-2454326311581678561
92,1,14102100,1005,0,1,0,4687,320,50,423,2,39,100148,32,-8714071520106422825
93,0,14102100,1005,0,1,0,21611,320,50,2480,3,297,100111,61,5642505943159093909
94,0,14102100,1005,1,1,0,17037,320,50,1934,2,39,-1,16,-5370890334860741190
95,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,100084,79,-6043826374048643121
96,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,100084,79,-5497470920203784452
97,1,14102100,1005,0,1,0,15708,320,50,1722,0,35,-1,79,-8587292268327570678
98,0,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,1392857164009207940
99,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,-1961165885538764893
100,0,14102100,1005,1,1,0,19772,320,50,2227,0,687,100075,48,-298429284277331630
101,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,3032272412331066877
102,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,-7447863751109610905
103,1,14102100,1005,1,1,0,17212,320,50,1887,3,39,100200,23,7532826984117672848
104,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,-1,79,1976492737192670828
105,0,14102100,1005,0,1,3,20596,320,50,2161,0,35,-1,157,-6074956303460670410
106,0,14102100,1005,0,1,0,15707,320,50,1722,0,35,-1,79,7090997833464111984
107,0,14102100,1010,1,4,0,21665,320,50,2493,3,35,100050,117,5360659529384228330
108,0,14102100,1005,0,1,0,18945,320,50,2153,3,427,100063,61,-8857634191257504972
109,0,14102100,1005,0,1,0,15702,320,50,1722,0,35,-1,79,-80052322344914806
110,0,14102100,1005,0,1,2,20596,320,50,2161,0,35,100034,157,3954786932789666163
111,1,14102100,1005,0,1,0,19665,320,50,2253,2,303,-1,52,-4013741358157066788
112,0,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,8163576803141325449
113,0,14102100,1005,0,1,0,19743,320,50,2264,3,427,100000,61,-5584331359656771346
114,1,14102100,1005,0,1,0,15705,320,50,1722,0,35,-1,79,1976492737192670828
115,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,-574822382259404811
116,0,14102100,1005,0,1,0,15707,320,50,1722,0,35,100084,79,-1676073637574488163
117,0,14102100,1005,0,1,0,16859,320,50,1887,3,39,-1,23,7741261153921945767
118,0,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,7741261153921945767
119,0,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,6835608238222251495
120,0,14102100,1005,0,1,0,15702,320,50,1722,0,35,100084,79,3314832870957709642
121,0,14102100,1005,1,1,0,19771,320,50,2227,0,687,100081,48,7737244359246382702
122,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,-1,79,-3130634972019121531
123,0,14102100,1005,0,1,0,15707,320,50,1722,0,35,-1,79,5360659529384228330
124,1,14102100,1002,0,0,0,21300,320,50,2446,3,171,100228,156,-4791154564170380901
125,0,14102100,1005,0,1,0,16920,320,50,1899,0,431,100081,117,8946182744851203145
126,0,14102100,1005,0,1,2,21611,320,50,2480,3,297,100111,61,2297852971175655885
127,0,14102100,1002,0,0,0,21665,320,50,2493,3,35,-1,117,6832586393953332855
128,0,14102100,1005,1,1,0,15702,320,50,1722,0,35,-1,79,-5629815922177129395
129,0,14102100,1005,0,1,0,20596,320,50,2161,0,35,-1,157,7090997833464111984
130,0,14102100,1005,0,1,0,15705,320,50,1722,0,35,-1,79,-3080848871416834294
131,0,14102100,1005,0,1,0,17661,320,50,1996,1,41,100057,71,-9096931193759280981
132,1,14102100,1005,0,1,0,15705,320,50,1722,0,35,100084,79,3314832870957709642
133,0,14102100,1005,1,1,0,20366,320,50,2333,0,39,-1,157,3314832870957709642
134,0,14102100,1005,1,1,0,20596,320,50,2161,0,35,-1,157,8264597174011321938
135,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,-8535980062928872586
136,1,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,7741261153921945767
137,0,14102100,1005,0,1,0,9438,320,50,898,3,427,100003,61,-7899071330100380765
138,0,14102100,1005,0,1,0,15707,320,50,1722,0,35,-1,79,-3130634972019121531
139,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,-243662547012608678
140,0,14102100,1005,1,1,0,17264,320,50,1872,3,39,-1,23,4602005961453575128
141,0,14102100,1005,0,1,0,15702,320,50,1722,0,35,-1,79,-3130634972019121531
142,0,14102100,1002,0,0,0,21300,320,50,2446,3,171,100228,156,-4791154564170380901
143,0,14102100,1010,1,4,0,21665,320,50,2493,3,35,-1,117,6599400693664098975
144,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,3518248527686447543
145,0,14102100,1005,1,1,2,20596,320,50,2161,0,35,-1,157,-227062044999338968
146,1,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,7741261153921945767
147,0,14102100,1005,1,1,0,20359,216,36,2333,0,39,-1,157,-8714071520106422825
148,0,14102100,1005,0,1,0,20596,320,50,2161,0,35,100130,157,7859862781110741220
149,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,-1,79,-3080848871416834294
150,0,14102100,1005,1,1,0,15708,320,50,1722,0,35,100084,79,-1896859497226367892
151,0,14102100,1005,0,1,0,17875,320,50,2036,3,47,-1,156,-6074956303460670410
152,1,14102100,1005,0,1,0,15708,320,50,1722,0,35,100084,79,-80052322344914806
153,0,14102100,1005,0,1,0,15702,320,50,1722,0,35,-1,79,2297852971175655885
154,0,14102100,1005,0,1,0,15708,320,50,1722,0,35,100084,79,2284728201591191476
155,0,14102100,1005,0,1,0,15706,320,50,1722,0,35,100084,79,1064956754481980165
156,0,14102100,1005,1,1,0,18993,320,50,2161,0,35,-1,157,4452355107376042591
157,0,14102100,1005,0,1,0,19016,300,250,2162,2,39,-1,33,7741261153921945767
158,0,14102100,1005,1,1,0,18993,320,50,2161,0,35,-1,157,-6935022392389911672
159,0,14102100,1005,1,1,0,20362,320,50,2333,0,39,100076,157,-7449324994348398321
160,0,14102100,1005,0,1,0,4687,320,50,423,2,39,100148,32,6574997430427829896
161,0,14102100,1005,0,1,0,15702,320,50,1722,0,35,-1,79,-8587292268327570678
162,0,14102100,1005,0,1,0,20596,320,50,2161,0,35,-1,157,-2447969766406020155
163,1,14102100,1005,1,1,0,20352,320,50,2333,0,39,-1,157,7741261153921945767
164,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,-7699311560514132401
165,0,14102100,1005,0,1,0,4687,320,50,423,2,39,100148,32,2923776422496993519
166,1,14102100,1002,0,0,0,6616,320,50,576,2,35,100131,32,59384939554845322
167,0,14102100,1002,0,0,0,20170,300,50,2312,0,167,-1,16,-590231796978242250
168,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,1208891101083202038
169,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,1208891101083202038
170,1,14102100,1005,1,1,0,17614,320,50,1993,2,1063,100083,33,-8714071520106422825
171,0,14102100,1005,1,1,0,21612,320,50,2481,3,297,100111,61,987212108683155917
172,1,14102100,1005,1,1,0,17753,320,50,1993,2,1063,100084,33,2297852971175655885
173,1,14102100,1002,0,0,0,21660,320,50,2446,3,171,100228,156,-4791154564170380901
174,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,100083,79,-2400754558667974282
175,0,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,7741261153921945767
176,0,14102100,1005,0,1,0,6563,320,50,572,2,39,-1,32,4042043507569394401
177,0,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,-3745645394272074522
178,0,14102100,1005,0,1,0,15705,320,50,1722,0,35,-1,79,2715931642184865722
179,0,14102100,1010,1,4,0,21665,320,50,2493,3,35,-1,117,395688906642959902
180,0,14102100,1005,0,1,0,15708,320,50,1722,0,35,-1,79,-8146982714094823367
181,0,14102100,1005,0,1,0,15702,320,50,1722,0,35,100084,79,-623261270882518450
182,0,14102100,1005,0,1,0,6616,320,50,576,2,35,100131,32,7090997833464111984
183,0,14102100,1005,1,1,0,19950,320,50,1800,3,167,100079,23,7741261153921945767
184,0,14102100,1005,0,1,0,15708,320,50,1722,0,35,100084,79,-3130634972019121531
185,0,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,7741261153921945767
186,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,-7044679037951149376
187,0,14102100,1005,0,1,2,20596,320,50,2161,0,35,-1,157,-6442303702746307342
188,1,14102100,1005,1,1,0,17614,320,50,1993,2,1063,-1,33,1976492737192670828
189,0,14102100,1005,0,1,0,15705,320,50,1722,0,35,100084,79,-7699311560514132401
190,0,14102100,1005,0,1,0,15706,320,50,1722,0,35,100084,79,-80052322344914806
191,1,14102100,1005,0,1,0,19016,300,250,2162,2,39,-1,33,-5136386876248353461
192,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,-7283338405576440261
193,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,-5497470920203784452
194,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,-3130634972019121531
195,0,14102100,1005,1,1,0,18993,320,50,2161,0,35,-1,157,-6892224247118359062
196,0,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,7741261153921945767
197,0,14102100,1005,0,1,2,15706,320,50,1722,0,35,100084,79,-7846086352442621442
198,0,14102100,1005,1,1,2,20596,320,50,2161,0,35,-1,157,-227062044999338968
199,1,14102100,1005,1,1,2,20596,320,50,2161,0,35,-1,157,-227062044999338968
200,0,14102100,1005,0,1,0,20596,320,50,2161,0,35,-1,157,-8006851566272120517
201,1,14102100,1005,1,1,2,17614,320,50,1993,2,1063,-1,33,6906287460608156392
202,0,14102100,1002,0,0,0,20170,300,50,2312,0,167,100075,16,-590231796978242250
203,0,14102100,1005,0,1,0,15705,320,50,1722,0,35,100084,79,-3130634972019121531
204,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,-1,79,-7699311560514132401
205,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,3954337120086718287
206,0,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,7741261153921945767
207,0,14102100,1005,0,1,2,21611,320,50,2480,3,297,100111,61,5537313905681642323
208,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,-1515273996000624099
209,1,14102100,1005,0,1,0,17239,320,50,1973,3,39,100188,23,4452355107376042591
210,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,4976734164543752900
211,0,14102100,1005,0,1,2,15708,320,50,1722,0,35,-1,79,1275670375556611355
212,0,14102100,1010,1,4,0,21665,320,50,2493,3,35,-1,117,1227041958788479277
213,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,-3130634972019121531
214,0,14102100,1005,0,1,2,18993,320,50,2161,0,35,100148,157,7890844459391195801
215,0,14102100,1005,0,1,0,17654,300,250,1994,2,39,100083,33,-8714071520106422825
216,0,14102100,1005,1,1,0,20596,320,50,2161,0,35,100130,157,-7084439546542490053
217,0,14102100,1005,0,1,0,15708,320,50,1722,0,35,100084,79,-7902881721453091973
218,0,14102100,1005,0,1,0,15705,320,50,1722,0,35,100084,79,-7447863751109610905
219,0,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,6835608238222251495
220,1,14102100,1002,0,0,0,17081,320,50,1921,3,47,-1,23,693553231159451065
221,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,100188,157,4452355107376042591
222,1,14102100,1005,0,1,0,20346,300,250,2331,2,39,-1,23,-7084439546542490053
223,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,100084,79,-5497470920203784452
224,0,14102100,1005,0,1,0,15707,320,50,1722,0,35,100084,79,2297852971175655885
225,0,14102100,1010,1,5,0,21665,320,50,2493,3,35,100233,117,-4806777532837485884
226,0,14102100,1005,0,1,2,15708,320,50,1722,0,35,-1,79,7357097435969765853
227,1,14102100,1005,0,1,0,15703,320,50,1722,0,35,-1,79,2715931642184865722
228,0,14102100,1005,0,1,0,15707,320,50,1722,0,35,100084,79,-6043826374048643121
229,1,14102100,1005,0,1,0,6558,320,50,571,2,39,-1,32,-7084439546542490053
230,0,14102100,1005,1,1,0,19771,320,50,2227,0,687,100081,48,7078989377133655342
231,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,3688641599298961375
232,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,100128,157,-1825800622763434941
233,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,-3130634972019121531
234,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,100083,79,-1384014295401273542
235,0,14102100,1010,1,4,3,21310,320,50,2449,0,163,100106,91,7212946024427639472
236,0,14102100,1005,1,1,0,20366,320,50,2333,0,39,100079,157,-3130634972019121531
237,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,-3130634972019121531
238,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,-5497470920203784452
239,0,14102100,1005,0,1,0,16208,320,50,1800,3,167,-1,23,-3130634972019121531
240,0,14102100,1005,0,1,3,15706,320,50,1722,0,35,100084,79,2297852971175655885
241,0,14102100,1005,0,1,0,21611,320,50,2480,3,297,100111,61,-3208013473622075327
242,0,14102100,1005,0,1,0,15707,320,50,1722,0,35,100084,79,-3130634972019121531
243,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,-3130634972019121531
244,0,14102100,1005,0,1,0,20596,320,50,2161,0,35,-1,157,-5497470920203784452
245,0,14102100,1005,0,1,0,20382,320,50,1740,3,943,100060,100,2057859897546695813
246,0,14102100,1005,0,1,0,19771,320,50,2227,0,687,100075,48,-5057507361040282714
247,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,-7447863751109610905
248,0,14102100,1005,0,1,0,21611,320,50,2480,3,297,100111,61,9087744846562218625
249,1,14102100,1005,0,1,2,15703,320,50,1722,0,35,-1,79,3297927793334234776
250,0,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,793920288575063049
251,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,-1,79,-5497470920203784452
252,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,100128,157,-6453518300614412686
253,0,14102100,1005,1,1,0,19771,320,50,2227,0,687,-1,48,-6892224247118359062
254,0,14102100,1005,1,1,0,20596,320,50,2161,0,35,-1,157,-2972098734431236531
255,1,14102100,1005,0,1,0,17654,300,250,1994,2,39,100084,33,-275105822385290476
256,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,-5497470920203784452
257,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,-3130634972019121531
258,0,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,7918889398823724793
259,0,14102100,1005,0,1,0,21611,320,50,2480,3,297,100111,61,-1350210658883850328
260,1,14102100,1005,1,1,0,20596,320,50,2161,0,35,-1,157,-6892224247118359062
261,0,14102100,1005,1,1,0,20362,320,50,2333,0,39,100077,157,-3130634972019121531
262,0,14102100,1005,0,1,0,15705,320,50,1722,0,35,-1,79,-2400754558667974282
263,0,14102100,1005,0,1,0,20634,320,50,2374,3,39,-1,23,-7399516540695655715
264,0,14102100,1005,0,1,0,21611,320,50,2480,3,297,100111,61,4426077012004714231
265,0,14102100,1005,0,1,0,20596,320,50,2161,0,35,-1,157,-5497470920203784452
266,0,14102100,1005,0,1,0,19743,320,50,2264,3,427,100002,61,5759171343960431069
267,0,14102100,1005,0,1,0,15702,320,50,1722,0,35,-1,79,-3080848871416834294
268,0,14102100,1005,0,1,0,17654,300,250,1994,2,39,-1,33,-6299289908543671235
269,0,14102100,1005,0,1,0,16989,320,50,1926,2,39,-1,13,137884114573136964
270,0,14102100,1005,0,1,0,15708,320,50,1722,0,35,-1,79,7090997833464111984
271,0,14102100,1005,0,1,0,15707,320,50,1722,0,35,-1,79,-5497470920203784452
272,1,14102100,1005,1,1,0,15708,320,50,1722,0,35,-1,79,-3130634972019121531
273,0,14102100,1005,0,1,0,20346,300,250,2331,2,39,-1,23,-5497470920203784452
274,0,14102100,1010,1,4,0,21665,320,50,2493,3,35,-1,117,-6001547983995239818
275,0,14102100,1005,0,1,0,15703,320,50,1722,0,35,-1,79,-8146982714094823367
276,0,14102100,1005,0,1,0,17163,320,50,1955,3,163,100193,71,2057859897546695813
277,0,14102100,1005,0,1,0,15703,320,50,1722,0,35,-1,79,-777927863308884800
278,0,14102100,1005,1,1,0,4687,320,50,423,2,39,100148,32,2057859897546695813
279,0,14102100,1005,0,1,0,20596,320,50,2161,0,35,-1,157,-3372878079072819311
280,0,14102100,1005,1,1,0,15703,320,50,1722,0,35,-1,79,6568308335901850478
281,0,14102100,1002,0,0,0,21688,320,50,2496,3,167,100075,23,3106822266947709813
282,0,14102100,1005,1,1,0,16208,320,50,1800,3,167,100074,23,4452355107376042591
283,0,14102100,1005,0,1,0,20153,320,50,2307,3,163,100020,61,-1350210658883850328
284,0,14102100,1005,0,1,0,15703,320,50,1722,0,35,100084,79,-6449148530060962954
285,0,14102100,1005,0,1,2,18993,320,50,2161,0,35,100034,157,7848536673382346308
286,0,14102100,1005,0,1,0,15702,320,50,1722,0,35,-1,79,2297852971175655885
287,0,14102100,1005,0,1,0,15707,320,50,1722,0,35,100084,79,-3130634972019121531
288,1,14102100,1005,0,1,2,16615,320,50,1863,3,39,-1,23,8708890868380135645
289,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,7741261153921945767
290,1,14102100,1005,0,1,0,20634,320,50,2374,3,39,-1,23,8273148499357621015
291,0,14102100,1005,0,1,0,18648,320,50,1092,3,1835,100156,61,8733063097860224498
292,0,14102100,1005,1,1,2,18993,320,50,2161,0,35,-1,157,-227062044999338968
293,0,14102100,1010,1,4,0,21665,320,50,2493,3,35,-1,117,-5817668741091696867
294,0,14102100,1005,1,1,0,9461,320,50,901,3,1315,-1,61,-7335002083465683298
295,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,100084,79,7436622689072511177
296,0,14102100,1005,0,1,0,15705,320,50,1722,0,35,-1,79,-80052322344914806
297,0,14102100,1005,0,1,0,20382,320,50,1740,3,943,100060,100,4408900398691679777
298,0,14102100,1005,0,1,0,16989,320,50,1926,2,39,100128,13,2238809900081163130
299,0,14102100,1005,0,1,2,15006,320,50,1637,0,161,100046,91,8708890868380135645
300,0,14102100,1005,0,1,0,19743,320,50,2264,3,427,100000,61,5759171343960431069
301,0,14102100,1005,0,1,0,20596,320,50,2161,0,35,-1,157,6835608238222251495
302,0,14102100,1005,1,1,0,18993,320,50,2161,0,35,-1,157,-7699311560514132401
303,0,14102100,1005,0,1,0,20980,320,50,2371,0,551,100217,46,-8532378189016320154
304,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,-3130634972019121531
305,1,14102100,1005,1,1,0,20632,320,50,2374,3,39,-1,23,193596612373550427
306,0,14102100,1005,0,1,0,16071,320,50,1784,2,175,-1,95,3314832870957709642
307,1,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,-7902881721453091973
308,1,14102100,1005,1,1,0,9438,320,50,898,3,427,100005,61,5981950703575600620
309,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,100084,79,4976734164543752900
310,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,-6449148530060962954
311,1,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,6574997430427829896
